Time to add word (ns); Number of words in set
10;2490.0
19;2160.0
27;2380.0
34;2920.0
38;1740.0
44;2540.0
50;2160.0
57;2690.0
67;2970.0
73;3040.0
80;2880.0
87;3060.0
94;3140.0
97;2710.0
103;3390.0
108;2880.0
114;2750.0
122;3220.0
130;3940.0
134;3730.0
141;3690.0
149;10300.0
152;5030.0
157;3860.0
160;3130.0
166;3780.0
167;3600.0
171;3240.0
175;3150.0
179;2980.0
183;3500.0
187;3900.0
190;3440.0
195;3170.0
200;3810.0
202;3650.0
207;3350.0
213;3790.0
214;3620.0
217;3050.0
219;3510.0
223;4170.0
227;3840.0
229;2950.0
233;3680.0
234;2690.0
241;3800.0
243;3310.0
246;3320.0
248;4020.0
253;3720.0
260;3870.0
264;3900.0
267;3730.0
269;3300.0
271;3620.0
275;3310.0
281;3730.0
284;2940.0
289;3840.0
293;3810.0
295;3400.0
296;3850.0
300;3570.0
302;3310.0
305;3810.0
308;3460.0
310;3490.0
312;3470.0
314;3020.0
315;3490.0
318;4120.0
323;3610.0
325;3510.0
327;4320.0
329;3610.0
332;3710.0
335;3770.0
338;3740.0
342;3760.0
345;134020.0
349;3840.0
352;3900.0
355;3510.0
356;3190.0
358;3560.0
360;3330.0
361;3520.0
366;3890.0
371;3500.0
374;3990.0
381;4690.0
385;3430.0
391;4530.0
393;4520.0
398;3810.0
402;3300.0
404;4090.0
405;3640.0
409;3760.0
412;3950.0
418;4360.0
422;4540.0
423;3970.0
424;4310.0
427;3730.0
432;4230.0
435;3590.0
436;3830.0
438;4050.0
441;3510.0
442;5130.0
444;6220.0
446;7050.0
451;7190.0
457;7010.0
460;6740.0
463;7910.0
467;7750.0
470;6780.0
474;6580.0
475;6360.0
477;6480.0
477;7030.0
478;6990.0
480;6090.0
481;6690.0
484;7190.0
487;7110.0
490;6860.0
490;5880.0
493;6530.0
495;6220.0
497;6590.0
499;5980.0
501;6430.0
505;10160.0
507;5570.0
509;5970.0
512;7090.0
515;5590.0
520;7390.0
523;8240.0
527;7810.0
528;5880.0
532;6820.0
533;6630.0
535;8000.0
536;6130.0
538;7120.0
540;6040.0
542;3160.0
544;3460.0
546;3740.0
547;3500.0
548;3750.0
550;3480.0
553;3640.0
554;3340.0
556;3610.0
557;3640.0
559;3540.0
563;3410.0
564;3730.0
566;3960.0
568;3970.0
572;3900.0
573;3250.0
578;4600.0
578;3770.0
580;3180.0
581;3410.0
582;2970.0
585;3470.0
586;3990.0
589;4120.0
592;3450.0
595;3520.0
600;4280.0
603;3370.0
610;4430.0
612;2950.0
617;3780.0
620;4380.0
621;3760.0
626;3850.0
628;3630.0
631;3710.0
636;4090.0
639;4110.0
641;7080.0
641;3580.0
644;4190.0
645;3390.0
648;3700.0
651;4510.0
653;3080.0
654;3970.0
656;3890.0
660;3220.0
666;4110.0
669;3900.0
672;3700.0
675;3610.0
676;3330.0
677;3070.0
680;4110.0
680;3950.0
683;3480.0
685;3500.0
686;3470.0
689;4030.0
691;3810.0
691;3150.0
694;3780.0
696;3370.0
699;3750.0
700;2870.0
702;3900.0
705;3270.0
707;3060.0
708;3110.0
710;3430.0
715;4100.0
719;3320.0
724;4320.0
727;3290.0
731;3960.0
734;3360.0
736;3990.0
737;3390.0
739;3390.0
740;3480.0
741;4050.0
746;3580.0
749;3620.0
750;3620.0
753;4580.0
757;3870.0
759;4130.0
761;3280.0
764;3640.0
767;3360.0
771;3810.0
773;3640.0
775;3020.0
777;3850.0
778;2750.0
780;3880.0
781;3940.0
784;3820.0
788;4040.0
791;4080.0
794;3720.0
795;2960.0
799;3290.0
801;3650.0
802;3790.0
802;2950.0
805;3700.0
806;3240.0
808;3360.0
808;3590.0
811;3530.0
812;4240.0
815;3090.0
816;6240.0
817;4510.0
818;3070.0
821;3750.0
821;3640.0
823;3210.0
825;3300.0
825;3230.0
827;3690.0
829;3560.0
830;3230.0
830;3930.0
833;3570.0
836;3900.0
839;3420.0
840;3430.0
842;3560.0
842;3140.0
844;3490.0
846;3700.0
849;2820.0
852;3470.0
853;3890.0
856;3760.0
859;3530.0
861;3860.0
862;3540.0
864;3340.0
864;3230.0
867;3760.0
869;3860.0
870;3000.0
872;3490.0
875;3570.0
878;3390.0
880;2970.0
884;3700.0
885;2880.0
887;3040.0
891;4020.0
892;3520.0
895;3810.0
896;3850.0
896;3120.0
896;3950.0
896;3410.0
897;3610.0
898;3130.0
898;3530.0
898;3110.0
900;3260.0
901;3310.0
901;3790.0
903;3870.0
905;3300.0
908;3480.0
909;3190.0
911;3340.0
913;2960.0
915;2890.0
916;3300.0
916;3960.0
917;3300.0
919;3830.0
919;2900.0
920;3750.0
921;3890.0
923;3190.0
927;3700.0
929;3520.0
931;3300.0
934;3370.0
936;2870.0
938;3400.0
940;3670.0
943;3640.0
945;3550.0
946;3830.0
946;3370.0
947;3340.0
950;3450.0
952;2830.0
955;3810.0
956;4040.0
956;3010.0
956;3690.0
959;3780.0
961;3300.0
963;3930.0
966;3540.0
967;3730.0
970;3640.0
971;3170.0
973;3020.0
974;3660.0
976;3690.0
976;3360.0
978;3240.0
979;3450.0
982;3930.0
983;3140.0
984;3780.0
986;3010.0
988;4030.0
988;3410.0
990;3680.0
990;2800.0
993;3400.0
997;3480.0
1001;3740.0
1003;3280.0
1003;3110.0
1005;2890.0
1005;3140.0
1008;3600.0
1008;3170.0
1009;3040.0
1009;3530.0
1010;4020.0
1013;3940.0
1014;3340.0
1016;2840.0
1017;3110.0
1019;3450.0
1022;3780.0
1023;3890.0
1024;3450.0
1025;3620.0
1026;3440.0
1028;3350.0
1031;3480.0
1033;2660.0
1034;3470.0
1036;2910.0
1039;3240.0
1040;3060.0
1043;3940.0
1046;3330.0
1047;3950.0
1047;3700.0
1050;3760.0
1051;3320.0
1054;3360.0
1055;3320.0
1058;3600.0
1059;3510.0
1060;3290.0
1061;3600.0
1065;3800.0
1066;3470.0
1066;3480.0
1068;4430.0
1069;3370.0
1073;3510.0
1074;3580.0
1076;3370.0
1079;3370.0
1081;3450.0
1084;3700.0
1086;2780.0
1088;3490.0
1090;3460.0
1094;4160.0
1097;3060.0
1098;3280.0
1099;3540.0
1103;3910.0
1104;3490.0
1106;3630.0
1107;3610.0
1109;3760.0
1112;3860.0
1113;3710.0
1115;4280.0
1117;3900.0
1117;2890.0
1119;3590.0
1121;3420.0
1121;3160.0
1123;3380.0
1124;3570.0
1125;3590.0
1126;3300.0
1126;4030.0
1127;3050.0
1128;3460.0
1129;3280.0
1130;3670.0
1134;3660.0
1136;3690.0
1137;4280.0
1138;2880.0
1142;3730.0
1144;4030.0
1144;3660.0
1148;3540.0
1150;3790.0
1153;4240.0
1154;3520.0
1158;3850.0
1160;3360.0
1162;3650.0
1165;4160.0
1169;3540.0
1170;3530.0
1171;3360.0
1171;3550.0
1172;3300.0
1174;3380.0
1175;3670.0
1176;3320.0
1177;3320.0
1180;3950.0
1180;3400.0
1181;4130.0
1183;3620.0
1184;3820.0
1184;4240.0
1185;3680.0
1188;3710.0
1188;2950.0
1188;4150.0
1188;3370.0
1188;3180.0
1190;5960.0
1193;3950.0
1195;3370.0
1195;3440.0
1195;6570.0
1198;6300.0
1199;5120.0
1200;6060.0
1202;6170.0
1203;5870.0
1204;6130.0
1205;5560.0
1206;6600.0
1208;7050.0
1211;5950.0
1211;5690.0
1211;6560.0
1211;7060.0
1211;6340.0
1211;5790.0
1212;7410.0
1213;5930.0
1213;5550.0
1213;6320.0
1214;6560.0
1216;5480.0
1217;6470.0
1219;5900.0
1220;5370.0
1220;3770.0
1221;3480.0
1221;3280.0
1223;5500.0
1224;3730.0
1224;3460.0
1225;3590.0
1226;3480.0
1227;3600.0
1229;3790.0
1232;3290.0
1235;4090.0
1238;3740.0
1239;3350.0
1239;3270.0
1240;4120.0
1240;2540.0
1243;3600.0
1248;3510.0
1250;3150.0
1253;3910.0
1256;3200.0
1256;3190.0
1257;3150.0
1257;3320.0
1259;3540.0
1262;3130.0
1262;3230.0
1262;2970.0
1264;4100.0
1264;3150.0
1266;2600.0
1267;3290.0
1269;3280.0
1271;3480.0
1271;2800.0
1273;3000.0
1273;3270.0
1273;3120.0
1274;3390.0
1277;4790.0
1277;3360.0
1279;3330.0
1281;3400.0
1284;4330.0
1284;4470.0
1285;2880.0
1287;3240.0
1287;3320.0
1287;2950.0
1288;3140.0
1289;3230.0
1292;3610.0
1294;3100.0
1294;3500.0
1297;3250.0
1299;3640.0
1302;3840.0
1302;2720.0
1304;3150.0
1305;3510.0
1308;2910.0
1310;3130.0
1313;4150.0
1314;3540.0
1314;3220.0
1316;3600.0
1318;3880.0
1319;3930.0
1319;4110.0
1319;3840.0
1321;3910.0
1323;3550.0
1324;3150.0
1324;3340.0
1327;3800.0
1327;3760.0
1328;3250.0
1331;3830.0
1333;3530.0
1334;4140.0
1335;3230.0
1335;4390.0
1336;3230.0
1337;3640.0
1338;3060.0
1338;3260.0
1338;3550.0
1339;3460.0
1339;2780.0
1341;3890.0
1342;3250.0
1343;3630.0
1343;3660.0
1344;3850.0
1344;3390.0
1345;3830.0
1346;3590.0
1347;3920.0
1349;3980.0
1349;3620.0
1351;4240.0
1354;3490.0
1355;3790.0
1357;3570.0
1357;3360.0
1357;3550.0
1358;3520.0
1362;3740.0
1364;3290.0
1364;3600.0
1368;4140.0
1371;3580.0
1372;3030.0
1374;3340.0
1375;3790.0
1376;4400.0
1377;3720.0
1379;4490.0
1381;4350.0
1383;4000.0
1383;3970.0
1384;4520.0
1384;4100.0
1384;4580.0
1387;4620.0
1387;4250.0
1389;4860.0
1391;4190.0
1394;4940.0
1397;4290.0
1399;4870.0
1402;4480.0
1403;4320.0
1405;3810.0
1409;4500.0
1409;4210.0
1410;4250.0
1410;3700.0
1410;4460.0
1412;4390.0
1413;4060.0
1414;4530.0
1414;3650.0
1416;3720.0
1416;4080.0
1416;4410.0
1417;29610.0
1417;4140.0
1418;3950.0
1420;4270.0
1421;4540.0
1422;3930.0
1422;3290.0
1422;3660.0
1422;3300.0
1423;3790.0
1425;5640.0
1427;4060.0
1429;4120.0
1430;3460.0
1432;4010.0
1434;4250.0
1435;4220.0
1436;3940.0
1436;3930.0
1437;8950.0
1439;5050.0
1441;4290.0
1442;3930.0
1448;4950.0
1450;4940.0
1453;5200.0
1453;3750.0
1454;4670.0
1455;4970.0
1456;4630.0
1459;4730.0
1464;5830.0
1465;15880.0
1466;4180.0
1470;4660.0
1470;3720.0
1471;3970.0
1473;3290.0
1476;3290.0
1477;2780.0
1479;3510.0
1480;2950.0
1483;3530.0
1485;3220.0
1487;3510.0
1488;3720.0
1488;3240.0
1488;3360.0
1490;2820.0
1492;3020.0
1495;3470.0
1497;3600.0
1500;4410.0
1501;3170.0
1503;3180.0
1503;3830.0
1504;2900.0
1505;3150.0
1506;3160.0
1507;3530.0
1508;3380.0
1510;4290.0
1510;3370.0
1510;3250.0
1511;3350.0
1512;3380.0
1513;3730.0
1515;5980.0
1517;2990.0
1517;3520.0
1517;3080.0
1518;3220.0
1519;3620.0
1520;5380.0
1520;3700.0
1522;3820.0
1524;3740.0
1524;3570.0
1526;3880.0
1527;3800.0
1530;3980.0
1530;4120.0
1531;4800.0
1534;4240.0
1536;3750.0
1537;4300.0
1537;3890.0
1538;4260.0
1540;4000.0
1542;4420.0
1543;3820.0
1545;4440.0
1545;4100.0
1546;4370.0
1547;3550.0
1547;4920.0
1547;4860.0
1547;3370.0
1550;4720.0
1551;4520.0
1552;8390.0
1555;4610.0
1557;5100.0
1558;4230.0
1559;4700.0
1560;4960.0
1560;4210.0
1562;4710.0
1563;4080.0
1564;4700.0
1565;3830.0
1566;4480.0
1569;4840.0
1570;4550.0
1572;4450.0
1573;4430.0
1573;4720.0
1573;5590.0
1574;5130.0
1575;6150.0
1575;5480.0
1578;5980.0
1578;4420.0
1581;4900.0
1584;4970.0
1585;5240.0
1587;5540.0
1588;6020.0
1588;4960.0
1590;5190.0
1590;5550.0
1591;5040.0
1592;5730.0
1595;5680.0
1596;5370.0
1599;4930.0
1599;4230.0
1600;5840.0
1601;4780.0
1603;5570.0
1604;5650.0
1606;5110.0
1608;5540.0
1609;5740.0
1612;4260.0
1614;4860.0
1616;5260.0
1618;5680.0
1620;4670.0
1623;5900.0
1624;5100.0
1626;4460.0
1627;5130.0
1627;4200.0
1629;5320.0
1632;5130.0
1633;5020.0
1636;5270.0
1637;4520.0
1638;5410.0
1638;4970.0
1638;5520.0
1640;5650.0
1640;4380.0
1641;5030.0
1642;4370.0
1642;5000.0
1643;4120.0
1643;4610.0
1643;4260.0
1644;4460.0
1644;3660.0
1645;5040.0
1647;5870.0
1647;3870.0
1648;4240.0
1648;3790.0
1648;4640.0
1648;5500.0
1649;4130.0
1649;3340.0
1651;4350.0
1651;3010.0
1652;3920.0
1652;3860.0
1653;4330.0
1653;3480.0
1654;3970.0
1654;3760.0
1657;4630.0
1659;2980.0
1660;3180.0
1661;3410.0
1662;3680.0
1662;2840.0
1663;3630.0
1663;3570.0
1667;3400.0
1669;3640.0
1671;3460.0
1673;3300.0
1674;3060.0
1675;3760.0
1676;3040.0
1677;3280.0
1679;3360.0
1680;3230.0
1681;2910.0
1681;3540.0
1684;4040.0
1685;3800.0
1686;3350.0
1686;3960.0
1686;3450.0
1689;3340.0
1690;3460.0
1691;3680.0
1693;3240.0
1694;7240.0
1694;3630.0
1695;3510.0
1697;4130.0
1697;3420.0
1697;3790.0
1699;3720.0
1699;3590.0
1701;4460.0
1701;3410.0
1702;3370.0
1703;3690.0
1703;3400.0
1704;3900.0
1707;3400.0
1707;3710.0
1709;3800.0
1710;3380.0
1715;4100.0
1716;3250.0
1718;3970.0
1719;5390.0
1722;3760.0
1722;3140.0
1722;3280.0
1723;3510.0
1726;3920.0
1728;3690.0
1729;2600.0
1731;3680.0
1733;3680.0
1734;3740.0
1734;3420.0
1734;3540.0
1734;3340.0
1735;3710.0
1737;3720.0
1737;3100.0
1738;3170.0
1738;3590.0
1738;2880.0
1739;3410.0
1739;3530.0
1739;3480.0
1741;3950.0
1742;3390.0
1744;4430.0
