time to add word (ns);number of words in set
10;5390.0
19;2830.0
27;2740.0
34;2090.0
38;2780.0
44;2440.0
50;5570.0
57;4270.0
67;2790.0
73;2830.0
80;2620.0
87;2400.0
94;2730.0
97;2220.0
103;2440.0
108;7390.0
114;2620.0
122;2380.0
130;2370.0
134;2290.0
141;2190.0
149;2440.0
152;2200.0
157;2380.0
160;2400.0
166;7020.0
167;2420.0
171;2320.0
175;2190.0
179;2180.0
183;2420.0
187;2730.0
190;2220.0
195;2250.0
200;7330.0
202;2390.0
207;15130.0
213;2350.0
214;3770.0
217;4540.0
219;4630.0
223;13450.0
227;5580.0
229;6090.0
233;5440.0
234;5170.0
241;7000.0
243;5450.0
246;5670.0
248;5720.0
253;6390.0
260;8210.0
264;6280.0
267;6630.0
269;5960.0
271;5930.0
275;6630.0
281;7580.0
284;5930.0
289;6570.0
293;6650.0
295;5460.0
296;5530.0
300;6690.0
302;5540.0
305;6120.0
308;6130.0
310;5240.0
312;6710.0
314;5530.0
315;5850.0
318;5870.0
323;6870.0
325;6250.0
327;7110.0
329;6070.0
332;6310.0
335;6440.0
338;5510.0
342;6260.0
345;6460.0
349;6710.0
352;5490.0
355;5640.0
356;5650.0
358;6120.0
360;5810.0
361;5840.0
366;6770.0
371;7360.0
374;6810.0
381;6160.0
385;6710.0
391;7920.0
393;5420.0
398;5570.0
402;6040.0
404;6380.0
405;5330.0
409;5350.0
412;5980.0
418;7330.0
422;6620.0
423;5160.0
424;5700.0
427;6200.0
432;5620.0
435;6240.0
436;5290.0
438;5180.0
441;5220.0
442;4210.0
444;4960.0
446;5600.0
451;6270.0
457;6530.0
460;5690.0
463;6070.0
467;5690.0
470;6360.0
474;5670.0
475;4600.0
477;4590.0
477;5220.0
478;5350.0
480;6000.0
481;5640.0
484;6330.0
487;7020.0
490;6040.0
490;4660.0
493;6070.0
495;6030.0
497;5290.0
499;5190.0
501;6240.0
505;6540.0
507;5800.0
509;5440.0
512;5880.0
515;5370.0
520;6360.0
523;5850.0
527;6070.0
528;5290.0
532;6190.0
533;4960.0
535;5820.0
536;4770.0
538;6240.0
540;5630.0
542;5810.0
544;5290.0
546;5540.0
547;4920.0
548;5430.0
550;5230.0
553;5950.0
554;5030.0
556;5550.0
557;4930.0
559;5320.0
563;6300.0
564;5940.0
566;5030.0
568;5900.0
572;5760.0
573;4830.0
578;6490.0
578;5330.0
580;5310.0
581;4910.0
582;4900.0
585;5390.0
586;5820.0
589;6130.0
592;5280.0
595;5860.0
600;6970.0
603;6010.0
610;7690.0
612;6180.0
617;8430.0
620;7770.0
621;9140.0
626;6820.0
628;5910.0
631;6310.0
636;6490.0
639;8210.0
641;5450.0
641;3820.0
644;4040.0
645;4420.0
648;5700.0
651;4180.0
653;3620.0
654;3560.0
656;4230.0
660;3940.0
666;12670.0
669;4400.0
672;3870.0
675;4350.0
676;3710.0
677;4200.0
680;5220.0
680;5750.0
683;4050.0
685;3810.0
686;3900.0
689;3890.0
691;3660.0
691;6270.0
694;4160.0
696;3860.0
699;4120.0
700;3600.0
702;3800.0
705;7660.0
707;4010.0
708;3900.0
710;4370.0
715;4340.0
719;5570.0
724;5470.0
727;3960.0
731;4250.0
734;4190.0
736;3980.0
737;5050.0
739;4760.0
740;3720.0
741;4100.0
746;3950.0
749;3610.0
750;3900.0
753;6330.0
757;4320.0
759;4110.0
761;3960.0
764;4090.0
767;4530.0
771;6580.0
773;3840.0
775;3840.0
777;4080.0
778;3660.0
780;4780.0
781;6700.0
784;4100.0
788;3970.0
791;4400.0
794;4360.0
795;6660.0
799;3940.0
801;3860.0
802;3730.0
802;3390.0
805;3750.0
806;3270.0
808;7570.0
808;3750.0
811;4230.0
812;3670.0
815;4310.0
816;3410.0
817;6140.0
818;3680.0
821;3680.0
821;2270.0
823;2250.0
825;2170.0
825;2040.0
827;4310.0
829;3420.0
830;2020.0
830;1960.0
833;2250.0
836;2220.0
839;2260.0
840;1910.0
842;2180.0
842;2040.0
844;2070.0
846;2280.0
849;7760.0
852;2390.0
853;2060.0
856;2780.0
859;2300.0
861;2400.0
862;2000.0
864;389620.0
864;7360.0
867;8000.0
869;9680.0
870;9300.0
872;7590.0
875;8210.0
878;10230.0
880;8250.0
884;9570.0
885;8710.0
887;7420.0
891;9600.0
892;8200.0
895;9460.0
896;6570.0
896;8350.0
896;8640.0
896;7350.0
897;8070.0
898;9280.0
898;7850.0
898;7240.0
900;8680.0
901;8310.0
901;6910.0
903;8090.0
905;8760.0
908;8370.0
909;7180.0
911;8820.0
913;8720.0
915;7640.0
916;8260.0
916;8940.0
917;7240.0
919;7380.0
919;7810.0
920;8900.0
921;7430.0
923;9180.0
927;9000.0
929;9020.0
931;9030.0
934;10090.0
936;8100.0
938;7600.0
940;8780.0
943;8590.0
945;7730.0
946;9310.0
946;8180.0
947;7230.0
950;7900.0
952;9020.0
955;9150.0
956;7380.0
956;7640.0
956;8790.0
959;8140.0
961;9350.0
963;8160.0
966;9090.0
967;6610.0
970;5860.0
971;5840.0
973;6660.0
974;5990.0
976;6960.0
976;5860.0
978;6800.0
979;5760.0
982;7750.0
983;5640.0
984;5790.0
986;8830.0
988;8150.0
988;7330.0
990;7950.0
990;7920.0
993;8810.0
997;9040.0
1001;9860.0
1003;8740.0
1003;7630.0
1005;7970.0
1005;7860.0
1008;8930.0
1008;7210.0
1009;9080.0
1009;7960.0
1010;8010.0
1013;9230.0
1014;8970.0
1016;8900.0
1017;7490.0
1019;9630.0
1022;9220.0
1023;20340.0
1024;7590.0
1025;3970.0
1026;3910.0
1028;4220.0
1031;4000.0
1033;4000.0
1034;7020.0
1036;4090.0
1039;4310.0
1040;3940.0
1043;4050.0
1046;4120.0
1047;6590.0
1047;3500.0
1050;4080.0
1051;3500.0
1054;3740.0
1055;3720.0
1058;6840.0
1059;4240.0
1060;3840.0
1061;3560.0
1065;7780.0
1066;3550.0
1066;5340.0
1068;4370.0
1069;3550.0
1073;4120.0
1074;3650.0
1076;3790.0
1079;4800.0
1081;6040.0
1084;4090.0
1086;4130.0
1088;4410.0
1090;3980.0
1094;5670.0
1097;5220.0
1098;4270.0
1099;3970.0
1103;4040.0
1104;3940.0
1106;5940.0
1107;4470.0
1109;4250.0
1112;4610.0
1113;3920.0
1115;3860.0
1117;6280.0
1117;3770.0
1119;4210.0
1121;3740.0
1121;3680.0
1123;3820.0
1124;6070.0
1125;5030.0
1126;3510.0
1126;3660.0
1127;3600.0
1128;4090.0
1129;3860.0
1130;7370.0
1134;4120.0
1136;4460.0
1137;3800.0
1138;3760.0
1142;5210.0
1144;5570.0
1144;3510.0
1148;4050.0
1150;3630.0
1153;4350.0
1154;3860.0
1158;6800.0
1160;3740.0
1162;3930.0
1165;4270.0
1169;4080.0
1170;3770.0
1171;5740.0
1171;3880.0
1172;4290.0
1174;3950.0
1175;3820.0
1176;4190.0
1177;6420.0
1180;4530.0
1180;3620.0
1181;3660.0
1183;3680.0
1184;3330.0
1184;6320.0
1185;4110.0
1188;4180.0
1188;3380.0
1188;3580.0
1188;3690.0
1188;4290.0
1190;6130.0
1193;4160.0
1195;3890.0
1195;3710.0
1195;3450.0
1198;4040.0
1199;6270.0
1200;3580.0
1202;3790.0
1203;3350.0
1204;3770.0
1205;4720.0
1206;3470.0
1208;4760.0
1211;2870.0
1211;2870.0
1211;2890.0
1211;2960.0
1211;2910.0
1211;5410.0
1212;3460.0
1213;2880.0
1213;2450.0
1213;2900.0
1214;2770.0
1216;3570.0
1217;4350.0
1219;6590.0
1220;5330.0
1220;3430.0
1221;3870.0
1221;5110.0
1223;5090.0
1224;3780.0
1224;3550.0
1225;3660.0
1226;3830.0
1227;5380.0
1229;4080.0
1232;4200.0
1235;4090.0
1238;4090.0
1239;3640.0
1239;3330.0
1240;4170.0
1240;3260.0
1243;3880.0
1248;4230.0
1250;4100.0
1253;4160.0
1256;4050.0
1256;3430.0
1257;3510.0
1257;6820.0
1259;3990.0
1262;3690.0
1262;3620.0
1262;3200.0
1264;3840.0
1264;4940.0
1266;6410.0
1267;3910.0
1269;4030.0
1271;4010.0
1271;3780.0
1273;5660.0
1273;5210.0
1273;3970.0
1274;4260.0
1277;4850.0
1277;3800.0
1279;7040.0
1281;4120.0
1284;4320.0
1284;3510.0
1285;3830.0
1287;3720.0
1287;5420.0
1287;4770.0
1288;4040.0
1289;3980.0
1292;4270.0
1294;3990.0
1294;7440.0
1297;3690.0
1299;3670.0
1302;4090.0
1302;3470.0
1304;3820.0
1305;6140.0
1308;4970.0
1310;3780.0
1313;3760.0
1314;4060.0
1314;3350.0
1316;5130.0
1318;5510.0
1319;3990.0
1319;3380.0
1319;3260.0
1321;3860.0
1323;3810.0
1324;7280.0
1324;3360.0
1327;3950.0
1327;3290.0
1328;3640.0
1331;4040.0
1333;7030.0
1334;4470.0
1335;4100.0
1335;3770.0
1336;3520.0
1337;3690.0
1338;7400.0
1338;3770.0
1338;3620.0
1339;4050.0
1339;10600.0
1341;5460.0
1342;3470.0
1343;7750.0
1343;3670.0
1344;3770.0
1344;3640.0
1345;4010.0
1346;3670.0
1347;3910.0
1349;4300.0
1349;4790.0
1351;6540.0
1354;4150.0
1355;4100.0
1357;4020.0
1357;3470.0
1357;3400.0
1358;3460.0
1362;6860.0
1364;5080.0
1364;3560.0
1368;4330.0
1371;4340.0
1372;3810.0
1374;5350.0
1375;4440.0
1376;3660.0
1377;3450.0
1379;4160.0
1381;3940.0
1383;4180.0
1383;6110.0
1384;3740.0
1384;3670.0
1384;3380.0
1387;3760.0
1387;3590.0
1389;5870.0
1391;5780.0
1394;4530.0
1397;4140.0
1399;3880.0
1402;4170.0
1403;6420.0
1405;3920.0
1409;4410.0
1409;3580.0
1410;3830.0
1410;3360.0
1410;5430.0
1412;4670.0
1413;3590.0
1414;3810.0
1414;3850.0
1416;3880.0
1416;3280.0
1416;6130.0
1417;3550.0
1417;3620.0
1418;3820.0
1420;4700.0
1421;3820.0
1422;8120.0
1422;3430.0
1422;3970.0
1422;3540.0
1423;3720.0
1425;4060.0
1427;6270.0
1429;3930.0
1430;3620.0
1432;2430.0
1434;2260.0
1435;2180.0
1436;2060.0
1436;1970.0
1437;6440.0
1439;2570.0
1441;2150.0
1442;2050.0
1448;2600.0
1450;2030.0
1453;2340.0
1453;1920.0
1454;2150.0
1455;2220.0
1456;5860.0
1459;2710.0
1464;2530.0
1465;2220.0
1466;2300.0
1470;2440.0
1470;2260.0
1471;2150.0
1473;2000.0
1476;2380.0
1477;5580.0
1479;2570.0
1480;2010.0
1483;2230.0
1485;2330.0
1487;2260.0
1488;2240.0
1488;2130.0
1488;2020.0
1490;2210.0
1492;2560.0
1495;5470.0
1497;2500.0
1500;2600.0
1501;2100.0
1503;2090.0
1503;1970.0
1504;2280.0
1505;1900.0
1506;2010.0
1507;1900.0
1508;3910.0
1510;3580.0
1510;2060.0
1510;1880.0
1511;2220.0
1512;2090.0
1513;2120.0
1515;2340.0
1517;2110.0
1517;1980.0
1517;1920.0
1518;4220.0
1519;3560.0
1520;2110.0
1520;1930.0
1522;2380.0
1524;2310.0
1524;2070.0
1526;2180.0
1527;1910.0
1530;2340.0
1530;2060.0
1531;6340.0
1534;2720.0
1536;2050.0
1537;2380.0
1537;1970.0
1538;1970.0
1540;2290.0
1542;2370.0
1543;2100.0
1545;2410.0
1545;5960.0
1546;2300.0
1547;2120.0
1547;2320.0
1547;1980.0
1547;1950.0
1550;2390.0
1551;2290.0
1552;2040.0
1555;2370.0
1557;2170.0
1558;2090.0
1559;1980.0
1560;2210.0
1560;1960.0
1562;2590.0
1563;2300.0
1564;2130.0
1565;1840.0
1566;2060.0
1569;2150.0
1570;2160.0
1572;1980.0
1573;2140.0
1573;2210.0
1573;1940.0
1574;2090.0
1575;7190.0
1575;2190.0
1578;2380.0
1578;2090.0
1581;2510.0
1584;2230.0
1585;2160.0
1587;2130.0
1588;2280.0
1588;1990.0
1590;5960.0
1590;2170.0
1591;2260.0
1592;2310.0
1595;2530.0
1596;1960.0
1599;2010.0
1599;2070.0
1600;2440.0
1601;2270.0
1603;4060.0
1604;4170.0
1606;2230.0
1608;2340.0
1609;2250.0
1612;2260.0
1614;6670.0
1616;2420.0
1618;4150.0
1620;4590.0
1623;2420.0
1624;2420.0
1626;2050.0
1627;2350.0
1627;1990.0
1629;2250.0
1632;2350.0
1633;2140.0
1636;2780.0
1637;4810.0
1638;2100.0
1638;2120.0
1638;2320.0
1640;2300.0
1640;1780.0
1641;2120.0
1642;2010.0
1642;1970.0
1643;2140.0
1643;2040.0
1643;5390.0
1644;2130.0
1644;2040.0
1645;2090.0
1647;2250.0
1647;2200.0
1648;2070.0
1648;2000.0
1648;1860.0
1648;2000.0
1649;2010.0
1649;6700.0
1651;2240.0
1651;1910.0
1652;1820.0
1652;2370.0
1653;2170.0
1653;2140.0
1654;1990.0
1654;1990.0
1657;2330.0
1659;2070.0
1660;6120.0
1661;2160.0
1662;2250.0
1662;1950.0
1663;2030.0
1663;1910.0
1667;2280.0
1669;2070.0
1671;2040.0
1673;2090.0
1674;2110.0
1675;5740.0
1676;2080.0
1677;2300.0
1679;2380.0
1680;1960.0
1681;1940.0
1681;1930.0
1684;2430.0
1685;2030.0
1686;2180.0
1686;5310.0
1686;2230.0
1689;2220.0
1690;1970.0
1691;2160.0
1693;2100.0
1694;2040.0
1694;1810.0
1695;2200.0
1697;2220.0
1697;2120.0
1697;5040.0
1699;4070.0
1699;2160.0
1701;2200.0
1701;2390.0
1702;2280.0
1703;2180.0
1703;1970.0
1704;2080.0
1707;2370.0
1707;5890.0
1709;2720.0
1710;2060.0
1715;2500.0
1716;2040.0
1718;2180.0
1719;2000.0
1722;2240.0
1722;1990.0
1722;2010.0
1723;2250.0
1726;6870.0
1728;2140.0
1729;1930.0
1731;2120.0
1733;2230.0
1734;1960.0
1734;1800.0
1734;2420.0
1734;1820.0
1735;1980.0
1737;5310.0
1737;4180.0
1738;2000.0
1738;1870.0
1738;1750.0
1739;2620.0
1739;5700.0
1739;6260.0
1741;4820.0
1742;5120.0
1744;4640.0
1747;4770.0
1749;4110.0
1749;3940.0
1750;6630.0
1750;3960.0
1751;5570.0
1753;2610.0
1755;2180.0
1757;2500.0
1761;2380.0
1763;2500.0
1768;2440.0
1771;2380.0
1774;6160.0
1776;2320.0
1776;2250.0
1777;2010.0
1778;2230.0
1780;2340.0
1781;2140.0
1781;2170.0
1781;2200.0
1781;2030.0
1783;6360.0
1784;2230.0
1787;2320.0
1788;2340.0
1790;2410.0
1791;2120.0
1791;1970.0
1792;2150.0
1795;2380.0
1796;1890.0
1796;3870.0
1796;3920.0
1798;2700.0
1800;2660.0
1800;2140.0
1800;2010.0
1802;2260.0
1805;2400.0
1807;2050.0
1807;1920.0
1809;2160.0
1812;6350.0
1816;2510.0
1816;2000.0
1817;2240.0
1819;2380.0
1820;2100.0
1820;2200.0
1822;2280.0
1824;2410.0
1825;2070.0
1826;8240.0
1828;2190.0
1828;1670.0
1831;1720.0
1834;1950.0
1835;1880.0
1836;2270.0
1837;1940.0
1837;1780.0
1837;5080.0
1837;1840.0
1837;1630.0
1838;2020.0
1838;1810.0
1840;2100.0
1840;1810.0
1840;1800.0
1841;1810.0
1841;1890.0
1843;4980.0
1843;1810.0
1843;1810.0
1843;1610.0
1844;1830.0
1845;1640.0
1848;1830.0
1848;1600.0
1849;1920.0
1849;1480.0
1849;1720.0
1850;5060.0
1851;1970.0
1851;1770.0
1852;1940.0
1853;1930.0
1854;1940.0
1855;1800.0
1857;1820.0
1859;1790.0
1861;1850.0
1861;3630.0
1863;3500.0
1865;4240.0
1865;2310.0
1865;2050.0
1866;2310.0
1867;1970.0
1867;1880.0
1868;2270.0
1869;2090.0
1869;2480.0
1869;4700.0
1872;2550.0
1874;2420.0
1874;2010.0
1875;2150.0
1877;2330.0
1878;2120.0
1879;2190.0
1880;2070.0
1880;1980.0
1880;4180.0
1880;2840.0
1881;2120.0
1881;1830.0
1882;2120.0
1884;2420.0
1886;2280.0
1888;2280.0
1889;1960.0
1891;2300.0
1891;2270.0
1891;6840.0
1894;2480.0
1897;2360.0
1899;2310.0
1901;2310.0
1903;2250.0
1904;1960.0
1905;2070.0
1905;2120.0
1907;2480.0
1908;7050.0
1909;2340.0
1909;2110.0
1909;2080.0
1910;2110.0
1911;2260.0
1912;2290.0
1914;2270.0
1915;2240.0
1916;2090.0
1917;2280.0
1917;6720.0
1917;2050.0
1918;2280.0
1918;2110.0
1920;2350.0
1922;2360.0
1923;1940.0
1925;2030.0
1926;2190.0
1927;2120.0
1927;2050.0
1927;2080.0
1927;2090.0
1927;1820.0
1929;2070.0
1930;2050.0
1931;2130.0
1932;2150.0
1934;2060.0
1936;2080.0
1936;1980.0
1937;2110.0
1937;2070.0
1939;2250.0
1940;2240.0
1942;2130.0
1943;2140.0
